distribution,pga_g,comparable_scale
local_P695_scaled_analysis_all_sets,0.28929306,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.17920665,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.10967448,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1774725,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.10913715,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.363978,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.14834119999999998,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.31541035,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3637905,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.29753665,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.100998025,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3132501,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.416419,scaled analysis input PGA
